Unnamed: 0,agegp,alcgp,tobgp,ncases,ncontrols,cases_per_population
16,35-44,0-39g/day,0-9g/day,0,60,0.0
17,35-44,0-39g/day,10-19,1,14,0.07142857142857142
18,35-44,0-39g/day,20-29,0,7,0.0
19,35-44,0-39g/day,30+,0,8,0.0
20,35-44,40-79,0-9g/day,0,35,0.0
21,35-44,40-79,10-19,3,23,0.13043478260869565
22,35-44,40-79,20-29,1,14,0.07142857142857142
23,35-44,40-79,30+,0,8,0.0
24,35-44,80-119,0-9g/day,0,11,0.0
25,35-44,80-119,10-19,0,6,0.0
26,35-44,80-119,20-29,0,2,0.0
27,35-44,80-119,30+,0,1,0.0
28,35-44,120+,0-9g/day,2,3,0.6666666666666666
29,35-44,120+,10-19,0,3,0.0
30,35-44,120+,20-29,2,4,0.5
31,45-54,0-39g/day,0-9g/day,1,46,0.021739130434782608
32,45-54,0-39g/day,10-19,0,18,0.0
33,45-54,0-39g/day,20-29,0,10,0.0
34,45-54,0-39g/day,30+,0,4,0.0
35,45-54,40-79,0-9g/day,6,38,0.15789473684210525
36,45-54,40-79,10-19,4,21,0.19047619047619047
37,45-54,40-79,20-29,5,15,0.3333333333333333
38,45-54,40-79,30+,5,7,0.7142857142857143
39,45-54,80-119,0-9g/day,3,16,0.1875
40,45-54,80-119,10-19,6,14,0.42857142857142855
41,45-54,80-119,20-29,1,5,0.2
42,45-54,80-119,30+,2,4,0.5
43,45-54,120+,0-9g/day,4,4,1.0
44,45-54,120+,10-19,3,4,0.75
45,45-54,120+,20-29,2,3,0.6666666666666666
46,45-54,120+,30+,4,4,1.0
47,55-64,0-39g/day,0-9g/day,2,49,0.04081632653061224
48,55-64,0-39g/day,10-19,3,22,0.13636363636363635
49,55-64,0-39g/day,20-29,3,12,0.25
50,55-64,0-39g/day,30+,4,6,0.6666666666666666
51,55-64,40-79,0-9g/day,9,40,0.225
52,55-64,40-79,10-19,6,21,0.2857142857142857
53,55-64,40-79,20-29,4,17,0.23529411764705882
54,55-64,40-79,30+,3,6,0.5
55,55-64,80-119,0-9g/day,9,18,0.5
56,55-64,80-119,10-19,8,15,0.5333333333333333
57,55-64,80-119,20-29,3,6,0.5
58,55-64,80-119,30+,4,4,1.0
59,55-64,120+,0-9g/day,5,10,0.5
60,55-64,120+,10-19,6,7,0.8571428571428571
61,55-64,120+,20-29,2,3,0.6666666666666666
62,55-64,120+,30+,5,6,0.8333333333333334
63,65-74,0-39g/day,0-9g/day,5,48,0.10416666666666667
64,65-74,0-39g/day,10-19,4,14,0.2857142857142857
65,65-74,0-39g/day,20-29,2,7,0.2857142857142857
66,65-74,0-39g/day,30+,0,2,0.0
67,65-74,40-79,0-9g/day,17,34,0.5
68,65-74,40-79,10-19,3,10,0.3
69,65-74,40-79,20-29,5,9,0.5555555555555556
70,65-74,80-119,0-9g/day,6,13,0.46153846153846156
71,65-74,80-119,10-19,4,12,0.3333333333333333
72,65-74,80-119,20-29,2,3,0.6666666666666666
73,65-74,80-119,30+,1,1,1.0
74,65-74,120+,0-9g/day,3,4,0.75
75,65-74,120+,10-19,1,2,0.5
76,65-74,120+,20-29,1,1,1.0
77,65-74,120+,30+,1,1,1.0
78,75+,0-39g/day,0-9g/day,1,18,0.05555555555555555
79,75+,0-39g/day,10-19,2,6,0.3333333333333333
80,75+,0-39g/day,30+,1,3,0.3333333333333333
81,75+,40-79,0-9g/day,2,5,0.4
82,75+,40-79,10-19,1,3,0.3333333333333333
83,75+,40-79,20-29,0,3,0.0
84,75+,40-79,30+,1,1,1.0
85,75+,80-119,0-9g/day,1,1,1.0
86,75+,80-119,10-19,1,1,1.0
87,75+,120+,0-9g/day,2,2,1.0
88,75+,120+,10-19,1,1,1.0
